*HASH_VALUE	skill ID	name	ia	da	p	pia	pda	description
_3A2202E09E2FB961	SMLOEE	闪电联结			闪电联结			联结魔法 进攻 特殊伤害 - 闪电
_F6CE98E462BC4BE7	SMLC	疗愈联结			疗愈联结			联结魔法 疗愈
_C03EED1A18979456	SMLCH	治疗联结			治疗联结			联结魔法 疗愈 治疗
_47BAADEFB7F6F367	SMLCHP	HP 治疗联结			HP 治疗联结			联结魔法 疗愈 治疗 - 生命值
_ED574D3D8E3C6092	SMLCHT	耐力治疗联结			耐力治疗联结			联结魔法 疗愈 治疗 - 耐力
_ED574D5BC80B1492	SMLCHA	树液治疗联结			树液治疗联结			联结魔法 疗愈 治疗 - 树液
_D170317EE36037EE	SMLCHC	专注治疗联结			专注治疗联结			联结魔法 疗愈 治疗 - 专注
_6BE71C3763BA2EC0	SMA	自主魔法			自主魔法			自主魔法
_038C64191738E825	SMAE	附魔魔法			附魔魔法			附魔魔法
_11B74D99C76C41BB	SMAES	法术附魔			法术附魔			附魔魔法 - 法术
_D0178DABC8BB21B3	SMAEB	增益附魔			增益附魔			附魔魔法 - 增益
_167E8049BBAE1327	SMAP	药剂制作魔法			药剂制作魔法			药剂制作
_6718E88297C7DCB2	SD	防御			防御			防御
_47FC9798E127AA6B	SDA	护甲防御			护甲防御			护甲防御
_DF240440B31A8CFA	SDAL	轻甲防御			轻甲防御			轻甲防御
_2579E5B65A42F5E0	SDALF	轻甲防御 - Fyros			轻甲防御 - Fyros			轻甲防御 - Fyros
_3A4A70B02FCE757E	SDALFA	进阶轻甲防御 - Fyros			进阶轻甲防御 - Fyros			进阶轻甲防御 - Fyros
_092D87890ABD27A8	SDALFAE	专家轻甲防御 - Fyros			专家轻甲防御 - Fyros			专家轻甲防御 - Fyros
_600985BD5AE2E5D1	SDALM	轻甲防御 - Matis			轻甲防御 - Matis			轻甲防御 - Matis
_3A4A58A62B3CAD85	SDALMA	进阶轻甲防御 - Matis			进阶轻甲防御 - Matis			进阶轻甲防御 - Matis
_4A4D2790897DCF9E	SDALMAE	专家轻甲防御 - Matis			专家轻甲防御 - Matis			专家轻甲防御 - Matis
_1356288C143BE4EB	SDALT	轻甲防御 - Tryker			轻甲防御 - Tryker			轻甲防御 - Tryker
_BA6BD0D36826EDDC	SDALTA	进阶轻甲防御 - Tryker			进阶轻甲防御 - Tryker			进阶轻甲防御 - Tryker
_6BDFC5F35AA8E5CB	SDALTAE	专家轻甲防御 - Tryker			专家轻甲防御 - Tryker			专家轻甲防御 - Tryker
_24BABDCA7929BD66	SDALZ	轻甲防御 - Zoraï			轻甲防御 - Zoraï			轻甲防御 - Zoraï
_3A111C94ACCD1592	SDALZA	进阶轻甲防御 - Zoraï			进阶轻甲防御 - Zoraï			进阶轻甲防御 - Zoraï
_8B2D5F19A6DDFF42	SDALZAE	专家轻甲防御 - Zoraï			专家轻甲防御 - Zoraï			专家轻甲防御 - Zoraï
_C61C242303F92188	SDAM	中甲防御			中甲防御			中甲防御
_1A130B6E81DBBC22	SDAMF	中甲防御 - Fyros			中甲防御 - Fyros			中甲防御 - Fyros
_F684003775869139	SDAMFA	进阶中甲防御 - Fyros			进阶中甲防御 - Fyros			进阶中甲防御 - Fyros
_3874F6C7BF6AF50E	SDAMFAE	专家中甲防御 - Fyros			专家中甲防御 - Fyros			专家中甲防御 - Fyros
_DC130B6E7FBB041F	SDAMM	中甲防御 - Matis			中甲防御 - Matis			中甲防御 - Matis
_F4C428476FF69140	SDAMMA	进阶中甲防御 - Matis			进阶中甲防御 - Matis			进阶中甲防御 - Matis
_FA74F6BBC10835FD	SDAMMAE	专家中甲防御 - Matis			专家中甲防御 - Matis			专家中甲防御 - Matis
_6C1ADF5A0499E469	SDAMT	中甲防御 - Tryker			中甲防御 - Tryker			中甲防御 - Tryker
_83F88DBB25238239	SDAMTA	进阶中甲防御 - Tryker			进阶中甲防御 - Tryker			进阶中甲防御 - Tryker
_BB346CA339E33BB8	SDAMTAE	专家中甲防御 - Tryker			专家中甲防御 - Tryker			专家中甲防御 - Tryker
_1F130B669AFB6C54	SDAMZ	中甲防御 - Zoraï			中甲防御 - Zoraï			中甲防御 - Zoraï
_F04B785FF2C79145	SDAMZA	进阶中甲防御 - Zoraï			进阶中甲防御 - Zoraï			进阶中甲防御 - Zoraï
_3D74DAABDE489518	SDAMZAE	专家中甲防御 - Zoraï			专家中甲防御 - Zoraï			专家中甲防御 - Zoraï
_65CEFF6A2003977E	SDAH	重甲防御			重甲防御			重甲防御
_C479F639145D6001	SDAHF	重甲防御 - Fyros			重甲防御 - Fyros			重甲防御 - Fyros
_3EAC30A425CE7583	SDAHFA	进阶重甲防御 - Fyros			进阶重甲防御 - Fyros			进阶重甲防御 - Fyros
_073BD391888D4FA2	SDAHFAE	专家重甲防御 - Fyros			专家重甲防御 - Fyros			专家重甲防御 - Fyros
_C9F81239149D70D2	SDAHM	重甲防御 - Matis			重甲防御 - Matis			重甲防御 - Matis
_3EAC189A213CAD8A	SDAHMA	进阶重甲防御 - Matis			进阶重甲防御 - Matis			进阶重甲防御 - Matis
_485B7398074DF798	SDAHMAE	专家重甲防御 - Matis			专家重甲防御 - Matis			专家重甲防御 - Matis
_B6A20C403649A4AE	SDAHT	重甲防御 - Tryker			重甲防御 - Tryker			重甲防御 - Tryker
_F8CC18CF672615F8	SDAHTA	进阶重甲防御 - Tryker			进阶重甲防御 - Tryker			进阶重甲防御 - Tryker
_6A7F35ECDBC8D5A7	SDAHTAE	专家重甲防御 - Tryker			专家重甲防御 - Tryker			专家重甲防御 - Tryker
_CED84639529D52F3	SDAHZ	重甲防御 - Zoraï			重甲防御 - Zoraï			重甲防御 - Zoraï
_3E73DC88A2CD1597	SDAHZA	进阶重甲防御 - Zoraï			进阶重甲防御 - Zoraï			进阶重甲防御 - Zoraï
_893BAB2124AD273C	SDAHZAE	专家重甲防御 - Zoraï			专家重甲防御 - Zoraï			专家重甲防御 - Zoraï
_DE59E2BD5DB342FF	SDS	盾牌防御			盾牌防御			盾牌防御
_665F9EF3CB6AFB1B	SDSB	小圆盾防御 			小圆盾防御 			小圆盾防御 
_D6918DC8D2A2E5CE	SDSBF	小圆盾防御 - Fyros			小圆盾防御 - Fyros			小圆盾防御 - Fyros
_C86A36DA0E32349A	SDSBFA	进阶小圆盾防御 - Fyros			进阶小圆盾防御 - Fyros			进阶小圆盾防御 - Fyros
_A4548401996016AB	SDSBFAE	专家小圆盾防御 - Fyros			专家小圆盾防御 - Fyros			专家小圆盾防御 - Fyros
_D63031D1CC12E5CF	SDSBM	小圆盾防御 - Matis			小圆盾防御 - Matis			小圆盾防御 - Matis
_478ABEE387C2D4A8	SDSBMA	进阶小圆盾防御 - Matis			进阶小圆盾防御 - Matis			进阶小圆盾防御 - Matis
_A6F2C4E95B6016A6	SDSBMAE	专家小圆盾防御 - Matis			专家小圆盾防御 - Matis			专家小圆盾防御 - Matis
_51FB4C92F22370C2	SDSBT	小圆盾防御 - Tryker			小圆盾防御 - Tryker			小圆盾防御 - Tryker
_F5FC35CF01993F77	SDSBTA	进阶小圆盾防御 - Tryker			进阶小圆盾防御 - Tryker			进阶小圆盾防御 - Tryker
_CB8B716BE2BDD2E5	SDSBTAE	专家小圆盾防御 - Tryker			专家小圆盾防御 - Tryker			专家小圆盾防御 - Tryker
_53B77DDC4FE3D750	SDSBZ	小圆盾防御 - Zoraï			小圆盾防御 - Zoraï			小圆盾防御 - Zoraï
_4531D66A08730C3E	SDSBZA	进阶小圆盾防御 - Zoraï			进阶小圆盾防御 - Zoraï			进阶小圆盾防御 - Zoraï
_C33224F79E60FAA3	SDSBZAE	专家小圆盾防御 - Zoraï			专家小圆盾防御 - Zoraï			专家小圆盾防御 - Zoraï
_5FD3FF521B70122A	SDSS	大盾防御			大盾防御			大盾防御
_258E3057B65FB8DE	SDSSF	大盾防御 - Fyros			大盾防御 - Fyros			大盾防御 - Fyros
_9F6C03EC2EAA8BE4	SDSSFA	进阶大盾防御 - Fyros			进阶大盾防御 - Fyros			进阶大盾防御 - Fyros
_1D4FFD6D6A2C3E8D	SDSSFAE	专家大盾防御 - Fyros			专家大盾防御 - Fyros			专家大盾防御 - Fyros
_601ED05EB6FFA8CF	SDSSM	大盾防御 - Matis			大盾防御 - Matis			大盾防御 - Matis
_9F6CEBE22A18C3EB	SDSSMA	进阶大盾防御 - Matis			进阶大盾防御 - Matis			进阶大盾防御 - Matis
_5E6F9D74E9ECE683	SDSSMAE	专家大盾防御 - Matis			专家大盾防御 - Matis			专家大盾防御 - Matis
_51DBC6685ABE9FD1	SDSST	大盾防御 - Tryker			大盾防御 - Tryker			大盾防御 - Tryker
_2F803FE71B4DC937	SDSSTA	进阶大盾防御 - Tryker			进阶大盾防御 - Tryker			进阶大盾防御 - Tryker
_CF74B5C12A6BB8B9	SDSSTAE	专家大盾防御 - Tryker			专家大盾防御 - Tryker			专家大盾防御 - Tryker
_24CF086BD5468064	SDSSZ	大盾防御 - Zoraï			大盾防御 - Zoraï			大盾防御 - Zoraï
_9F33AFD0ABA92BF8	SDSSZA	进阶大盾防御 - Zoraï			进阶大盾防御 - Zoraï			进阶大盾防御 - Zoraï
_9F4FD5FD064C1627	SDSSZAE	专家大盾防御 - Zoraï			专家大盾防御 - Zoraï			专家大盾防御 - Zoraï
_E4FEE2CD5824CE04	SDD	防御闪避			防御闪避			防御闪避
_B2FD6E00FC67D675	SDDA	标准防御闪避			标准防御闪避			进阶防御闪避
_0FC86202AE2E2D7F	SDDAT	进阶防御闪避			进阶防御闪避			技术进阶防御闪避
_2ABBBA0B2EA265E1	SDDATM	专家防御闪避			专家防御闪避			精通防御闪避
_56D22F619ED6AB31	SDDATME	大师防御闪避			大师防御闪避			专家进阶防御闪避
_97F03668731C6899	uknown	未知技能			未知技能			
_CDE48A297AAB6A68	Unknown	未知技能			未知技能			
_E869049E9CF76CBE	SH	收获			收获			收获
_60170C8820B7888C	SHF	采集			采集			
_442BD9F7265A5C60	SHFF	森林采集			森林采集			
_ABAB732E8EFA5E6D	SHFFA	进阶森林采集			进阶森林采集			
_E6CB0BDADA2125AF	SHFFAE	专家森林采集			专家森林采集			
_B10C1FBB94DEE8D9	SHFFAEM	大师森林采集			大师森林采集			
_C42BD5F666CA2C5E	SHFD	沙漠采集			沙漠采集			
_6BFB6B2F0CDA5A6D	SHFDA	进阶沙漠采集			进阶沙漠采集			
_66BB07DB98611DAF	SHFDAE	专家沙漠采集			专家沙漠采集			
_31EC1FBD909EE8D9	SHFDAEM	大师沙漠采集			大师沙漠采集			
_453A81F2A57A8464	SHFJ	丛林采集			丛林采集			
_E79B8B2A1049426F	SHFJA	进阶丛林采集			进阶丛林采集			
_2369F7D85BC235AF	SHFJAE	专家丛林采集			专家丛林采集			
_2A2A2FB3985EE8D9	SHFJAEM	大师丛林采集			大师丛林采集			
_1AD7982D8D996475	SHFL	湖泊采集			湖泊采集			
_FAF5BBC2525D3127	SHFLA	进阶湖泊采集			进阶湖泊采集			
_C973D10EA27302E5	SHFLAE	专家湖泊采集			专家湖泊采集			
_BB11B61895D0B534	SHFLAEM	大师湖泊采集			大师湖泊采集			
_2A44FD62F20871D7	SHFP	原始根须采集			原始根须采集			
_6FEB58CC68A3038F	SHFPA	进阶原始根须采集			进阶原始根须采集			
_035B83115B7A3738	SHFPAE	专家原始根须采集			专家原始根须采集			
_F79E37D8A4C77E67	SHFPAEM	大师原始根须采集			大师原始根须采集			
_BA3DD7D26A7885B0	SMTOECA	进阶冰霜魔法			进阶冰霜魔法			进阶目标指向魔法 进攻 特殊伤害 - 冰霜
_AFEDA7D06A484DAB	SMTOEAA	进阶酸蚀魔法			进阶酸蚀魔法			进阶目标指向魔法 进攻 特殊伤害 - 酸蚀
_01CD9DBDADC47BC9	SMTOERA	进阶腐蚀魔法			进阶腐蚀魔法			进阶目标指向魔法 进攻 特殊伤害 - 腐蚀
_71CEBFD5AAD97DB9	SMTOEFA	进阶火焰魔法			进阶火焰魔法			进阶目标指向魔法 进攻 特殊伤害 - 火焰
_318D06154CC1104A	SMTOESA	进阶冲击波魔法			进阶冲击波魔法			进阶目标指向魔法 进攻 特殊伤害 - 冲击波
_73261D03FCFBFD13	SMTOEPA	进阶毒素魔法			进阶毒素魔法			进阶目标指向魔法 进攻 特殊伤害 - 毒素
_E6D785444091E28C	SMTOEEA	进阶闪电魔法			进阶闪电魔法			进阶目标指向魔法 进攻 特殊伤害 - 闪电
_D7E6E2B1D5A97148	SMTCHPA	进阶 HP 治疗魔法			进阶 HP 治疗魔法			进阶目标指向魔法 疗愈 治疗 - 生命值
_0918DB0BE0F94381	SMTCHTA	进阶耐力治疗魔法			进阶耐力治疗魔法			进阶目标指向魔法 疗愈 治疗 - 耐力
_F3EB3786D6F24AAC	SMTCHAA	进阶树液治疗魔法			进阶树液治疗魔法			进阶目标指向魔法 疗愈 治疗 - 树液
_E9A9A59BE96CEC2F	SMTCHCA	进阶专注治疗魔法			进阶专注治疗魔法			进阶目标指向魔法 疗愈 治疗 - 专注
_5E798E3F74FE345E	SMLOSMA	进阶疯狂联结			进阶疯狂联结			进阶联结魔法 进攻 疾病 - 疯狂
_26EEA5D39E743F06	SMLOSSA	进阶速度减益联结			进阶速度减益联结			进阶联结魔法 进攻 疾病 - 速度减益
_5172DB6301F6E8D5	SMLOCIA	进阶失能联结			进阶失能联结			进阶联结魔法 进攻 诅咒 - 失能
_9163A3774C6560F0	SMLOCSA	进阶不幸联结			进阶不幸联结			进阶联结魔法 进攻 诅咒 - 不幸
_6AD31D5BA8BF214B	SMLOECA	进阶冰霜联结			进阶冰霜联结			进阶联结魔法 进攻 特殊伤害 - 冰霜
_EAA3ED59E7FF053F	SMLOEAA	进阶酸蚀联结			进阶酸蚀联结			进阶联结魔法 进攻 特殊伤害 - 酸蚀
_A7C460984F98020C	SMLOERA	进阶腐蚀联结			进阶腐蚀联结			进阶联结魔法 进攻 特殊伤害 - 腐蚀
_6B34055F296F5145	SMLOEFA	进阶火焰联结			进阶火焰联结			进阶联结魔法 进攻 特殊伤害 - 火焰
_D4F777BB9FE1FFC6	SMLOESA	进阶冲击波联结			进阶冲击波联结			进阶联结魔法 进攻 特殊伤害 - 冲击波
_663E8A6237DAFF8F	SMLOEPA	进阶毒素联结			进阶毒素联结			进阶联结魔法 进攻 特殊伤害 - 毒素
_F03F1412EF9651DB	SMLOEEA	进阶闪电联结			进阶闪电联结			进阶联结魔法 进攻 特殊伤害 - 闪电
_6E57968BCB587F8E	SMD	防御魔法			防御魔法			防御魔法
_E4EAEA05C036B3CB	SMDA	防御诅咒			防御诅咒			标准防御诅咒
_8BE8FBCCF2B753CD	SMDAA	进阶防御诅咒			进阶防御诅咒			进阶防御诅咒
_EF9774F6512DD4CE	SMDAAE	专家防御诅咒			专家防御诅咒			专家防御诅咒
_ED65F0BA7B50E721	SMDAAEM	大师防御诅咒			大师防御诅咒			大师防御诅咒
_397B66BC32CD0D7C	SMDH	标准治疗魔法			标准治疗魔法			标准治疗魔法
_35B7302DA7A9A4E6	SMDHA	进阶治疗魔法			进阶治疗魔法			进阶治疗魔法
_ED96DA1DA02EF778	SMDHAE	专家治疗魔法			专家治疗魔法			专家治疗魔法
_E4A67EED911AA10F	SMDHAEM	大师治疗魔法			大师治疗魔法			大师治疗魔法
_27450790EC3DF79C	SMO	进攻魔法			进攻魔法			进攻魔法
_E49AEA05C036BFEC	SMOA	进攻诅咒			进攻诅咒			标准进攻诅咒
_8B9803E2326753CD	SMOAA	进阶进攻诅咒			进阶进攻诅咒			进阶进攻诅咒
_B14774F6514D2CCF	SMOAAE	专家进攻诅咒			专家进攻诅咒			专家进攻诅咒
_AF15F0BABB101322	SMOAAEM	大师进攻诅咒			大师进攻诅咒			大师进攻诅咒
_AEBEAF4BCABFFB1C	SMOE	元素魔法			元素魔法			标准元素魔法
_8C6B9F1DA778E81E	SMOEA	进阶元素魔法			进阶元素魔法			进阶元素魔法
_FC649D9073CA8292	SMOEAE	专家元素魔法			专家元素魔法			专家元素魔法
_32E3FD659EAB950B	SMOEAEM	大师元素魔法			大师元素魔法			大师元素魔法
_B93945D8AB4CE8F7	SMS	自我魔法			自我魔法			自我魔法
_83F4433CC9AD94E4	SMSS	标准自我魔法			标准自我魔法			标准自我魔法
_779EFD45D0FE3F50	SMSSA	进阶自我魔法			进阶自我魔法			进阶自我魔法
_319B0363794BC094	SMSSAE	专家自我魔法			专家自我魔法			专家自我魔法
_2C19F048303A87DB	SMSSAEM	大师自我魔法			大师自我魔法			大师自我魔法
_DC262CA3A8C7EC7E	SF	战斗			战斗			
_9FB46C869809E4AD	SFM	近战格斗			近战格斗			
_529007CD20C0A474	SFM1	单手近战格斗			单手近战格斗			
_13BDE7BA6940A996	SFM1B	单手近战砸击			单手近战砸击			
_D94507669A13E45F	SFM1BM	锤			锤			
_73DA5D3CEA2FF9DB	SFM1BME	电击锤			电击锤			
_78CE19EFDB927FA1	SFM1BMM	大师锤			大师锤			
_8974507B67460C6B	SFM1BS	杖			杖			
_322EE5D7E0EA8F0E	SFM1BSM	大师杖			大师杖			
_D1ADF7B1698099A1	SFM1P	单手近战穿刺			单手近战穿刺			
_8CE54C7B65460C87	SFM1PS	矛			矛			
_093C6256AECD9909	SFM1PSE	电击矛			电击矛			
_B64ED5EF5EDA8F06	SFM1PSL	生命矛			生命矛			
_32B0BDDFDEEA8F1C	SFM1PSM	大师矛			大师矛			
_13BDE7B96940A5A7	SFM1S	单手近战劈砍			单手近战劈砍			
_D315B84E2AA27C98	SFM1SA	斧			斧			
_78ADFD175B5EB7F5	SFM1SAB	燃烧斧			燃烧斧			
_C7DFA10129549B6B	SFM1SAM	大师斧			大师斧			
_0915B88CE7460C8D	SFM1SS	剑			剑			
_32EE45F360EA8F1F	SFM1SSM	大师剑			大师剑			
_B68C5DF3648B8F09	SFM1SSW	波动剑			波动剑			
_929007CD20C0A476	SFM2	双手近战格斗			双手近战格斗			
_53BDE7BB6940AD96	SFM2B	双手近战砸击			双手近战砸击			
_F15CD1694847CDF2	SFM2BM	双手锤			双手锤			
_5704967E575AEBA6	SFM2BME	双手电击锤			双手电击锤			
_301A7FEFCE1033BC	SFM2BMM	双手大师锤			双手大师锤			
_11ADF7B269809DA1	SFM2P	双手近战穿刺			双手近战穿刺			
_DA260B769EF51070	SFM2PP	长矛			长矛			
_37ADF902A12397A4	SFM2PPL	生命长矛			生命长矛			
_B8CE19F7DF4397AF	SFM2PPM	大师长矛			大师长矛			
_53BDE7BA6940A9A7	SFM2S	双手近战劈砍			双手近战劈砍			
_F8ED4DD3B04A51ED	SFM2SA	双手斧			双手斧			
_2CFAC7993848E3D5	SFM2SAB	双手燃烧斧			双手燃烧斧			
_EDAB73465D5509C0	SFM2SAM	双手大师斧			双手大师斧			
_F1DCBDCC6B38D1F9	SFM2SS	双手剑			双手剑			
_AAB855AC86495BC6	SFM2SSB	双手燃烧剑			双手燃烧剑			
_2B882A40FCA567C1	SFM2SSL	双手生命剑			双手生命剑			
_2DD80E41FC666FC3	SFM2SSM	双手大师剑			双手大师剑			
_2B08364BFC5667C1	SFM2SSW	双手波动剑			双手波动剑			
_3848BBF1F2187460	SFMC	近身格斗			近身格斗			
_60988398DCA6C997	SFMCA	进阶近身格斗			进阶近身格斗			
_D6D5D066DF15B854	SFMCAD	匕首			匕首			
_BA9DD135EFD7CCE9	SFMCADL	生命匕首			生命匕首			
_3B1EA52E2FE7F8EB	SFMCADM	大师匕首			大师匕首			
_BA9DB138B188CCE9	SFMCADW	波动匕首			波动匕首			
_34255D0B60104BEF	SFMCAH	徒手格斗			徒手格斗			
_EC1526CB91DCF82F	SFMCAHM	大师徒手格斗			大师徒手格斗			
_DF566C869829F4AB	SFR	远程战斗			远程战斗			
_52E107D12040CC74	SFR1	单手远程战斗			单手远程战斗			
_5D0320E36D6B5C49	SFR1A	进阶单手远程战斗			进阶单手远程战斗			
_5C8878F919A85063	SFR1AB	弓手枪 			弓手枪			
_8B428585BBF17573	SFR1ABM	大师弓手枪			大师弓手枪			
_4F91917A7FE18168	SFR1ABW	波动弓手枪			波动弓手枪			
_1587247EE4D68763	SFR1AP	手枪			手枪			
_375F3549F498FCE3	SFR1APL	生命手枪			生命手枪			
_B8E0094234A828E5	SFR1APM	大师手枪			大师手枪			
_92E107D12040CC76	SFR2	双手远程战斗			双手远程战斗			
_9D0320E46D7B5C49	SFR2A	进阶双手远程战斗			进阶双手远程战斗			
_761E05099FDCD5FF	SFR2AA	连发投射器			连发投射器			
_AA2B77F770A02BC7	SFR2AAB	燃烧连发投射器			燃烧连发投射器			
_6DFBBBE198CF6583	SFR2AAM	大师连发投射器			大师连发投射器			
_1D160C9E2205FC8C	SFR2AB	弓式步枪			弓式步枪			
_52D653A403717150	SFR2ABE	电击弓式步枪			电击弓式步枪			
_CD131A1802CA9469	SFR2ABM	大师弓式步枪			大师弓式步枪			
_1B56309520454883	SFR2AL	投射器			投射器			
_3D708A732D6FA261	SFR2ALB	燃烧投射器			燃烧投射器			
_D2560BACC3A1D543	SFR2ALE	电击投射器			电击投射器			
_CED33223BD8AD85E	SFR2ALM	大师投射器			大师投射器			
_C9667C75A1260469	SFR2AR	步枪			步枪			
_F6FD2DF1DABA8BF7	SFR2ARL	生命步枪			生命步枪			
_725F15E15ACA8B0D	SFR2ARM	大师步枪			大师步枪			
_DDBA87931433927E	SCA	护甲制造			护甲制造			护甲制造
_D2364393A262BA4D	SCJ	首饰制造			首饰制造			首饰制造
_5884EFEF58C66171	SCM	近战武器制造			近战武器制造			近战武器制造
_99D5EFEF58264977	SCR	远程武器制造			远程武器制造			远程武器制造
_5FD19B322A25F58F	SCAH	重甲制造			重甲制造			重甲制造
_61D19B28E3042D9B	SCAL	轻甲制造			轻甲制造			轻甲制造
_77DF38E12DB84933	SCAM	中甲制造			中甲制造			中甲制造
_64C5AB99E1F93AE4	SCAS	盾牌制造			盾牌制造			盾牌制造
_A37377C336061BC0	SCJA	脚环制造			脚环制造			脚环制造
_093FE329F1ECAFD4	SCJB	手镯制造			手镯制造			手镯制造
_DD557393DE0922DD	SCJD	头冠制造			头冠制造			头冠制造
_601FBCF9F83DCB49	SCJE	耳环制造			耳环制造			耳环制造
_8B9BF406615BCBA0	SCJP	坠饰制造			坠饰制造			坠饰制造
_58C1D9845E363A44	SCJR	戒指制造			戒指制造			戒指制造
_DA2E7E3FCA164940	SCM1	单手近战武器制造			单手近战武器制造			单手近战武器制造
_1ACEA244CA56914A	SCM2	双手近战武器制造			双手近战武器制造			双手近战武器制造
_1BBF8E374C36513C	SCR1	单手远程武器制造			单手远程武器制造			单手远程武器制造
_5B5FB23C4C769946	SCR2	双手远程武器制造			双手远程武器制造			双手远程武器制造
_C96D90091C99697C	SCAHB	重甲靴制造			重甲靴制造			重甲靴制造
_697ECD0831C40D56	SCAHG	重甲手套制造			重甲手套制造			重甲手套制造
_AA7ED509ADD3C952	SCAHH	重甲头盔制造			重甲头盔制造			重甲头盔制造
_4E4E90091C99616D	SCAHP	重甲裤制造			重甲裤制造			重甲裤制造
_33A56AD5E544A4A6	SCAHS	重甲护臂制造			重甲护臂制造			重甲护臂制造
_20CE8C7C23CF983B	SCAHV	重甲背心制造			重甲背心制造			重甲背心制造
_CA6D68E89B799980	SCALB	轻甲靴制造			轻甲靴制造			轻甲靴制造
_6ADE4906B4841D56	SCALG	轻甲手套制造			轻甲手套制造			轻甲手套制造
_4F4E68E89B799171	SCALP	轻甲裤制造			轻甲裤制造			轻甲裤制造
_70247ECF6784B4A1	SCALS	轻甲护臂制造			轻甲护臂制造			轻甲护臂制造
_220E7869211F8045	SCALV	轻甲背心制造			轻甲背心制造			轻甲背心制造
_87D2551F32F3D1D9	SCAMB	中甲靴制造			中甲靴制造			中甲靴制造
_64D88EDE5F5F3CBE	SCAMG	中甲手套制造			中甲手套制造			中甲手套制造
_87D2551FB22309F5	SCAMP	中甲裤制造			中甲裤制造			中甲裤制造
_5ACABAE0F7050ABC	SCAMS	中甲护臂制造			中甲护臂制造			中甲护臂制造
_B4F3A5EBDDB93D59	SCAMV	中甲背心制造			中甲背心制造			中甲背心制造
_4FD0C50DE565E120	SCASS	大盾制造			大盾制造			大盾制造
_7511B0F0F4FDBB1F	SCASB	小圆盾制造			小圆盾制造			小圆盾制造
_9179C666C8DB74C1	SCJAA	进阶脚环制造			进阶脚环制造			进阶脚环制造
_4F6173BE58DD91EA	SCJBA	进阶手镯制造			进阶手镯制造			进阶手镯制造
_8F79864B46BB4CBC	SCJDA	进阶头冠制造			进阶头冠制造			进阶头冠制造
_A802E327352F5D1A	SCJEA	进阶耳环制造			进阶耳环制造			进阶耳环制造
_E812BB26B3706D2A	SCJPA	进阶坠饰制造			进阶坠饰制造			进阶坠饰制造
_7667998865D69400	SCJRA	进阶戒指制造			进阶戒指制造			进阶戒指制造
_C20EC6BE1CD10262	SCM1M	锤制造			锤制造			锤制造
_9BA51FB096E46E95	SCM1T	杖制造			杖制造			杖制造
_5D954FA797A46E9D	SCM1P	矛制造			矛制造			矛制造
_CF83C9346095DA3B	SCM1A	斧制造			斧制造			斧制造
_1E465BBF19146E92	SCM1S	剑制造			剑制造			剑制造
_D328F3D3EF169B83	SCM1D	匕首制造			匕首制造			匕首制造
_A9427FC01B1BA614	SCM2M	双手锤制造			双手锤制造			双手锤制造
_020EC6CE22B30E65	SCM2P	长矛制造			长矛制造			长矛制造
_0E465ABD275ADD87	SCM2A	双手斧制造			双手斧制造			双手斧制造
_509D1AE6B27DF93B	SCM2S	双手剑制造			双手剑制造			双手剑制造
_844F549E45B094DA	SCR1B	弓手枪制造			弓手枪制造			弓手枪制造
_199A3BEC7136E7A5	SCR1P	手枪制造			手枪制造			手枪制造
_188BF14452C8A940	SCR2A	连发投射器制造			连发投射器制造			连发投射器制造
_7F6A7C4CF7D8573B	SCR2B	弓式步枪制造			弓式步枪制造			弓式步枪制造
_BBCA883F7538A349	SCR2L	投射器制造			投射器制造			投射器制造
_1DA603AA97336A92	SCR2R	步枪制造			步枪制造			步枪制造
_9C7ED03161F4F41B	SCAHBE	专家重甲靴制造			专家重甲靴制造			专家重甲靴制造
_52495B88B6E6EF2A	SCAHGE	专家重甲手套制造			专家重甲手套制造			专家重甲手套制造
_D4495F8A7494BB1E	SCAHHE	专家重甲头盔制造			专家重甲头盔制造			专家重甲头盔制造
_649E083161F4EC0D	SCAHPE	专家重甲裤制造			专家重甲裤制造			专家重甲裤制造
_87692DF1685048F1	SCAHSE	专家重甲护臂制造			专家重甲护臂制造			专家重甲护臂制造
_4C83FF8E482B1F01	SCAHVE	专家重甲背心制造			专家重甲背心制造			专家重甲背心制造
_9E7EA81522932C1F	SCALBE	专家轻甲靴制造			专家轻甲靴制造			专家轻甲靴制造
_53F9FB72B9A60F2A	SCALGE	专家轻甲手套制造			专家轻甲手套制造			专家轻甲手套制造
_669EE01522932411	SCALPE	专家轻甲裤制造			专家轻甲裤制造			专家轻甲裤制造
_06A749EBEB9058F1	SCALSE	专家轻甲护臂制造			专家轻甲护臂制造			专家轻甲护臂制造
_CEC3FB7B46CB2BF7	SCALVE	专家轻甲背心制造			专家轻甲背心制造			专家轻甲背心制造
_54B10780FE546FAA	SCAMBE	专家中甲靴制造			专家中甲靴制造			专家中甲靴制造
_FA9B35F82F4CDE5A	SCAMGE	专家中甲手套制造			专家中甲手套制造			专家中甲手套制造
_54B10780BE5437D4	SCAMPE	专家中甲裤制造			专家中甲裤制造			专家中甲裤制造
_B2CDB9C4123825D5	SCAMSE	专家中甲护臂制造			专家中甲护臂制造			专家中甲护臂制造
_8C9527646403DCFC	SCAMVE	专家中甲背心制造			专家中甲背心制造			专家中甲背心制造
