*HASH_VALUE	sbrick ID	name	* noms français	ia	da	p	pia	pda	description	description2	*commentaires
_AC333B09B94D0388	BSFMB04	护盾能力 4							持续 $6SP_SHIELDING 秒，$7SP_SHIELDING 秒后可再次使用。无盾牌时你承受 $0SP_SHIELDING% 的伤害，上限 $1SP_SHIELDING 点。持小圆盾时你承受 $2SP_SHIELDING% 的伤害，上限 $3SP_SHIELDING 点。持盾牌时你承受 $4SP_SHIELDING% 的伤害，上限 $5SP_SHIELDING 点。	护盾（$6SP_SHIELDING 秒/$7SP_SHIELDING 秒） - 盾牌（$4SP_SHIELDING%/$5SP_SHIELDING）	
_AC333B09F95D0388	BSFMB05	护盾能力 5							持续 $6SP_SHIELDING 秒，$7SP_SHIELDING 秒后可再次使用。无盾牌时你承受 $0SP_SHIELDING% 的伤害，上限 $1SP_SHIELDING 点。持小圆盾时你承受 $2SP_SHIELDING% 的伤害，上限 $3SP_SHIELDING 点。持盾牌时你承受 $4SP_SHIELDING% 的伤害，上限 $5SP_SHIELDING 点。	护盾（$6SP_SHIELDING 秒/$7SP_SHIELDING 秒） - 盾牌（$4SP_SHIELDING%/$5SP_SHIELDING）	
_AC333B09396D0388	BSFMB06	护盾能力 6							持续 $6SP_SHIELDING 秒，$7SP_SHIELDING 秒后可再次使用。无盾牌时你承受 $0SP_SHIELDING% 的伤害，上限 $1SP_SHIELDING 点。持小圆盾时你承受 $2SP_SHIELDING% 的伤害，上限 $3SP_SHIELDING 点。持盾牌时你承受 $4SP_SHIELDING% 的伤害，上限 $5SP_SHIELDING 点。	护盾（$6SP_SHIELDING 秒/$7SP_SHIELDING 秒） - 盾牌（$4SP_SHIELDING%/$5SP_SHIELDING）	
_AC333B09797D0388	BSFMB07	护盾能力 7							持续 $6SP_SHIELDING 秒，$7SP_SHIELDING 秒后可再次使用。无盾牌时你承受 $0SP_SHIELDING% 的伤害，上限 $1SP_SHIELDING 点。持小圆盾时你承受 $2SP_SHIELDING% 的伤害，上限 $3SP_SHIELDING 点。持盾牌时你承受 $4SP_SHIELDING% 的伤害，上限 $5SP_SHIELDING 点。	护盾（$6SP_SHIELDING 秒/$7SP_SHIELDING 秒） - 盾牌（$4SP_SHIELDING%/$5SP_SHIELDING）	
_AC333B09BA8D0388	BSFMB08	护盾能力 8							持续 $6SP_SHIELDING 秒，$7SP_SHIELDING 秒后可再次使用。无盾牌时你承受 $0SP_SHIELDING% 的伤害，上限 $1SP_SHIELDING 点。持小圆盾时你承受 $2SP_SHIELDING% 的伤害，上限 $3SP_SHIELDING 点。持盾牌时你承受 $4SP_SHIELDING% 的伤害，上限 $5SP_SHIELDING 点。	护盾（$6SP_SHIELDING 秒/$7SP_SHIELDING 秒） - 盾牌（$4SP_SHIELDING%/$5SP_SHIELDING）	
_AC333B09FA9D0388	BSFMB09	护盾能力 9							持续 $6SP_SHIELDING 秒，$7SP_SHIELDING 秒后可再次使用。无盾牌时你承受 $0SP_SHIELDING% 的伤害，上限 $1SP_SHIELDING 点。持小圆盾时你承受 $2SP_SHIELDING% 的伤害，上限 $3SP_SHIELDING 点。持盾牌时你承受 $4SP_SHIELDING% 的伤害，上限 $5SP_SHIELDING 点。	护盾（$6SP_SHIELDING 秒/$7SP_SHIELDING 秒） - 盾牌（$4SP_SHIELDING%/$5SP_SHIELDING）	
_8F1AD138C5844CBE	BSFMB10	护盾能力 10							持续 $6SP_SHIELDING 秒，$7SP_SHIELDING 秒后可再次使用。无盾牌时你承受 $0SP_SHIELDING% 的伤害，上限 $1SP_SHIELDING 点。持小圆盾时你承受 $2SP_SHIELDING% 的伤害，上限 $3SP_SHIELDING 点。持盾牌时你承受 $4SP_SHIELDING% 的伤害，上限 $5SP_SHIELDING 点。	护盾（$6SP_SHIELDING 秒/$7SP_SHIELDING 秒） - 盾牌（$4SP_SHIELDING%/$5SP_SHIELDING）	
_8F1AD139C5944CBE	BSFMB11	护盾能力 11							持续 $6SP_SHIELDING 秒，$7SP_SHIELDING 秒后可再次使用。无盾牌时你承受 $0SP_SHIELDING% 的伤害，上限 $1SP_SHIELDING 点。持小圆盾时你承受 $2SP_SHIELDING% 的伤害，上限 $3SP_SHIELDING 点。持盾牌时你承受 $4SP_SHIELDING% 的伤害，上限 $5SP_SHIELDING 点。	护盾（$6SP_SHIELDING 秒/$7SP_SHIELDING 秒） - 盾牌（$4SP_SHIELDING%/$5SP_SHIELDING）	
_8F1AD13AC5A44CBE	BSFMB12	护盾能力 12							持续 $6SP_SHIELDING 秒，$7SP_SHIELDING 秒后可再次使用。无盾牌时你承受 $0SP_SHIELDING% 的伤害，上限 $1SP_SHIELDING 点。持小圆盾时你承受 $2SP_SHIELDING% 的伤害，上限 $3SP_SHIELDING 点。持盾牌时你承受 $4SP_SHIELDING% 的伤害，上限 $5SP_SHIELDING 点。	护盾（$6SP_SHIELDING 秒/$7SP_SHIELDING 秒） - 盾牌（$4SP_SHIELDING%/$5SP_SHIELDING）	
_6D4D6FF05F6280CC	BHFPPA01	勘探图样							基础勘探节。使用它使原材料矿源出现，最好与其他节组合使用。例如，没有「寻得更优材料」节时，你只能找到基础原材料。与天然原材料矿源相比，你找到的矿源有 2.5 秒的提取时间加成。		
_846F4642EECE2211	BHFSPA01	侦察图样							采集用的基础侦察图样节。		
_D34B4CD548A71864	BHFPPOA01	地形专精							降低矿床追踪动作的专注消耗；为所勘探矿源的提取速率提供加成。	 	
_2FC1783B19267F60	BHFPPOB01	材料专精							让你选择要勘探的原材料类型。	 	
_3606B8F7492E274C	BHFPPOC01	距离 +							延长矿源勘探距离。	 	
_5A3C749BDA5BEBFC	BHFPPOD01	锥角 +							增大矿源勘探锥的角度。	 	
_4DBCA79E98C3EDB1	BHFPPOE01	多点 +							可找到多于一个原材料矿源。	 	
_69A813023CAF5C08	BHFPPOF01	知识 +							显示所勘探矿源的信息。	 	
_E34E69B88E823025	BHFPPOG01	速度 +							更快地勘探。	 	
_BFA3D92C1300D772	BHFPPOH01	矿源时间 +							延长矿源的提取时间。	 	
_616DD39D60307005	BHFPPOI01	寻得更优材料							找到更好的原材料（没有此节你只能找到基础原材料）。	 	
_02D9392B98084DA0	BHFPPOK01	矿床追踪							追踪区域内最接近的原材料矿床，匹配你动作中设定的属性。最好将此节与其他节组合使用，以定位含有特定原材料的矿床。例如，没有「寻得更优材料」节时，你只能找到基础原材料。请注意一个矿床可能含有多种原材料，因此找到矿床后，你仍需勘探才能找到与所寻原材料对应的特定位置。	原材料矿床追踪	
_55E71933CA0A4611	BHFPPOL01	可制造物品部件专精							按用途选择你要寻找的原材料。	 	
_307BDDD735BCD5F6	BHFPSOA01	潜行 +							采集节 潜行 +。		
_4399B2A392BD0D22	BHFPCA01	代价 1							采集节 1 的对等代价。		
_43A9B2A3D2BD0D23	BHFPCA02	代价 2							采集节 2 的对等代价。		
_43B9B2A312BD0D24	BHFPCA03	代价 3							采集节 3 的对等代价。		
_43C9B2A353BD0D25	BHFPCA04	代价 4							采集节 4 的对等代价。		
_43D9B2A393BD0D26	BHFPCA05	代价 5							采集节 5 的对等代价。		
_43E9B2A3D3BD0D27	BHFPCA06	代价 6							采集节 6 的对等代价。		
_43F9B2A313BD0D28	BHFPCA07	代价 7							采集节 7 的对等代价。		
_4309B2A354BD0D29	BHFPCA08	代价 8							采集节 8 的对等代价。		
_4319B2A394BD0D2A	BHFPCA09	代价 9							采集节 9 的对等代价。		
_14359F95750F454D	BHFPCA10	代价 10							采集节 10 的对等代价。		
_14359F95B50F494E	BHFPCA11	代价 11							采集节 11 的对等代价。		
_14359F95F50F4D4F	BHFPCA12	代价 12							采集节 12 的对等代价。		
_14359F95350F5150	BHFPCA13	代价 13							采集节 13 的对等代价。		
_14359F95760F5551	BHFPCA14	代价 14							采集节 14 的对等代价。		
_14359F95B60F5952	BHFPCA15	代价 15							采集节 15 的对等代价。		
_5D708E9BF0E319FB	BHFPMA01	森林专精							在森林区域收获时，降低速率与品质节的激进程度。		
_5D80669930E319FA	BHFPMA02	沙漠专精							在沙漠区域收获时，降低速率与品质节的激进程度。		
_DD2FA69F70E3DDF4	BHFPMA03	丛林专精							在丛林区域收获时，降低速率与品质节的激进程度。		
_4A290A36B290B4C5	BHFPMA04	湖泊专精							在湖泊区域收获时，降低速率与品质节的激进程度。		
_06218DE1CB0FFB68	BHFPMA05	原始根须专精							在原始根须区域收获时，降低速率与品质节的激进程度。		
_CD0A562B3290B4C5	BHFPMA06	Atys 专精							降低速率与品质节的激进程度		
_EAC2E381AD1F7240	BHFPMB01	次级树液组勘探							寻找特定材料。		
_FEB7185DB44F7474	BHFPMB02	次级琥珀组勘探							寻找特定材料。		
_0FBDE921409993B8	BHFPMB03	次级结节组勘探							寻找特定材料。		
_FEB7185D349F7474	BHFPMB04	次级纤维组勘探							寻找特定材料。		
_0FBD012F3ED993B8	BHFPMB05	次级树皮组勘探							寻找特定材料。		
_0FBDE5227FEA93B8	BHFPMB06	次级种子组勘探							寻找特定材料。		
_FE563460B4707474	BHFPMB07	次级甲壳组勘探							寻找特定材料。		
_BE74286E345E744D	BHFPMB08	次级树脂组勘探							寻找特定材料。		
_0FBDE52CC22A93B8	BHFPMB09	次级木材组勘探							寻找特定材料。		
_EA50DF5D6FEC7240	BHFPMB10	次级油组勘探							寻找特定材料。		
_8CC515E1B90583E2	BHFPMB11	上级树液组勘探							寻找特定材料，找到矿源的几率更高。		
_619BD50803A4CAA7	BHFPMB12	上级琥珀组勘探							寻找特定材料，找到矿源的几率更高。		
_A48CE2FAD1F61478	BHFPMB13	上级结节勘探							寻找特定材料，找到矿源的几率更高。		
_E5E4E765663C214C	BHFPMB14	上级纤维组勘探							寻找特定材料，找到矿源的几率更高。		
_619BD508C3F4CAA7	BHFPMB15	上级树皮组勘探							寻找特定材料，找到矿源的几率更高。		
_E5E4CB58E74D214C	BHFPMB16	上级种子组勘探							寻找特定材料，找到矿源的几率更高。		
_613AF10B03C5CAA7	BHFPMB17	上级甲壳组勘探							寻找特定材料，找到矿源的几率更高。		
_615AE51983B5CAA7	BHFPMB18	上级树脂组勘探							寻找特定材料，找到矿源的几率更高。		
_E5E4CB622A8D214C	BHFPMB19	上级木材组勘探							寻找特定材料，找到矿源的几率更高。		
_8CC515DD7BD483E2	BHFPMB20	上级油组勘探							寻找特定材料，找到矿源的几率更高。		
_A24139328E381006	BHFPMB21	建造材料组勘探							寻找特定材料。		
_445B94C1F6E14792	BHFPMB22	食物组勘探							寻找特定材料。		
_E39E9BF5993BF4DB	BHFPMB23	胶质组勘探							寻找特定材料。		
_064D9C842D9668DE	BHFPMB24	昆虫组勘探							寻找特定材料。		
_7790AF3C4829221D	BHFPMB25	Kitin 组勘探							寻找特定材料。		
_3CA391185C2D9B1F	BHFPMB26	有害材料组勘探							寻找特定材料。		
_6022453F8F4810F7	BHFPMB27	防腐材料组勘探							寻找特定材料。		
_78D93CBF9153D1B1	BHFPRMFMA01	组内任意材料									
_730AB3D4A58517EF	BHFPRMFMA02	赤热树液勘探								 	
_B8880F2D774EB8FC	BHFPRMFMA03	Silverweed 树液勘探								 	
_CE3A9CBA8F768874	BHFPRMFMA04	Visc 树液勘探								 	
_72A9C07722C8D447	BHFPRMFMA05	Dante 树液勘探								 	
_B2B9C0772147D854	BHFPRMFMA06	Enola 树液勘探								 	
_78D93CC09153D1B1	BHFPRMFMB01	组内任意材料									
_70FBE8A2D2753FF1	BHFPRMFMB02	Beng 琥珀勘探								 	
_F20BE8A2D28553ED	BHFPRMFMB03	Hash 琥珀勘探								 	
_F5D9FCC51983A04E	BHFPRMFMB04	Pha 琥珀勘探								 	
_B5E9FCC51983A04E	BHFPRMFMB05	Sha 琥珀勘探								 	
_B5F9FCC51983D855	BHFPRMFMB06	Soo 琥珀勘探								 	
_7709FCC51983D45B	BHFPRMFMB07	Zun 琥珀勘探								 	
_78D93CC19153D1B1	BHFPRMFMC01	组内任意材料									
_71C6F5D6C0EBE0F7	BHFPRMFMC02	Patee 木材节结勘探									
_F728EF09E7BE91B1	BHFPRMFMC03	Nita 木材节结勘探									
_E8FE284037E811DD	BHFPRMFMC04	Scrath 木材节结勘探									
_72F6F5D6C5CCC8F7	BHFPRMFMC05	Tansy 木材节结勘探									
_BA58EF09E7BE79A9	BHFPRMFMC06	Yana 木材节结勘探									
_78D93CC29153D1B1	BHFPRMFMD01	组内任意材料									
_356A70871AF4B5F2	BHFPRMFMD02	Anete 纤维勘探								 	
_71C9FCC35A83D85B	BHFPRMFMD03	Buo 纤维勘探								 	
_F11BD8A9D2F50B06	BHFPRMFMD04	Dzao 纤维勘探								 	
_B5E9FCC35A83F04E	BHFPRMFMD05	Shu 纤维勘探								 	
_78D93CC39153D1B1	BHFPRMFME01	组内任意材料									
_68F530B2D15CC1FC	BHFPRMFME02	Beckers 树皮勘探									
_E41A808479CD15CD	BHFPRMFME03	Perfling 树皮勘探									
_F518BBD31A43CDF5	BHFPRMFME04	Adriel 树皮勘探									
_F828BBD0DF03D5FA	BHFPRMFME05	Mitexi 树皮勘探									
_F2CAF89D0FF7EC47	BHFPRMFME06	誓言树皮勘探									
_78D93CC49153D1B1	BHFPRMFMF01	组内任意材料									
_EC65FCA4D25DC1FC	BHFPRMFMF02	Caprice 种子勘探								 	
_7A19D7CA5C43B1E5	BHFPRMFMF03	Sarina 种子勘探								 	
_F085ECAF535DD5FC	BHFPRMFMF04	Saurona 种子勘探								 	
_7A39D7D81B1499ED	BHFPRMFMF05	Silvio 种子勘探								 	
_78D93CC59153D1B1	BHFPRMFMG01	组内任意材料									
_F02908C59D83B84F	BHFPRMFMG02	大甲壳勘探								 	
_723BD4B9D29657FB	BHFPRMFMG03	Cuty 甲壳勘探								 	
_B87AA48A1F93D1FA	BHFPRMFMG04	Horny 甲壳勘探								 	
_7A8AA48ADED48DF8	BHFPRMFMG05	Smart 甲壳勘探								 	
_6789C7317C9ED9F2	BHFPRMFMG06	碎屑甲壳勘探								 	
_78D93CC79153D1B1	BHFPRMFMI01	组内任意材料									
_B20CC8BAD2555BF4	BHFPRMFMI02	胶质树脂勘探								 	
_F21CC8BAD2753FFD	BHFPRMFMI03	Dung 树脂勘探								 	
_722CC8BAD2753FFD	BHFPRMFMI04	Fung 树脂勘探								 	
_343CC8BAD2E543F7	BHFPRMFMI05	月亮树脂勘探								 	
_78D93CC89153D1B1	BHFPRMFMJ01	组内任意材料									
_7849D7CE1FC389F0	BHFPRMFMJ02	Abhaya 木材勘探								 	
_B3DB9082E24643F7	BHFPRMFMJ03	Eyota 木材勘探									
_EF15F8B3D2BCB506	BHFPRMFMJ04	Kachine 木材勘探									
_7B79BBCD9A03B9FD	BHFPRMFMJ05	Motega 木材勘探									
_739930B70F87D047	BHFPRMFMJ06	Tama 木材勘探									
_78D93CC99153D1B1	BHFPRMFMK01	组内任意材料									
_EF7908AD0FB7A06B	BHFPRMFMK02	枯叶勘探								 	
_BA3A848DDBE6A5FA	BHFPRMFMK03	新鲜树脂勘探								 	
_F3EB9083A4369BF0	BHFPRMFMK04	新鲜木材勘探								 	
_5289D4E05CD29C7D	BHFPRMFMK05	干燥木材勘探								 	
_8CD0051CEC8E1D87	BHFPRMFMK06	潮湿锯屑勘探								 	
_AF78E5DB003B9403	BHFPRMFMK07	小芦苇叶勘探								 	
_EE88E5DB3EEBD8F7	BHFPRMFMK08	大芦苇叶勘探								 	
_AC98E5DB025B94FF	BHFPRMFMK09	巨芦苇叶勘探								 	
_B4CB4083A4369BF7	BHFPRMFMK10	新鲜树皮勘探								 	
_52B9E4D217D29C7D	BHFPRMFMK11	干燥树皮勘探								 	
_F2B900CA98730078	BHFPRMFMK12	干燥纤维勘探								 	
_F10BDCA99206BBED	BHFPRMFMK13	潮湿纤维勘探								 	
_CEA119D6AD5C3C65	BHFPRMFMK14	小型珠光甲壳勘探								 	
_0DB119D6EB0C8059	BHFPRMFMK15	大型珠光甲壳勘探								 	
_CBC119D6AF7C3C61	BHFPRMFMK16	巨型珠光甲壳勘探								 	
_797A808DDC758DFE	BHFPRMFMK17	小珍珠勘探								 	
_B88A808D1A25D1F2	BHFPRMFMK18	大珍珠勘探								 	
_769A808DDE958DFA	BHFPRMFMK19	巨型珍珠勘探								 	
_07CDAD28EBEC8451	BHFPRMFMK20	银色鱼鳞勘探								 	
_C97D803234B96DE8	BHFPRMFMK21	金色鱼鳞勘探								 	
_F42920B40F47E475	BHFPRMFMK22	蠕虫丝勘探								 	
_7B19C3DF1AF5A9FB	BHFPRMFMK23	蜘蛛丝勘探								 	
_AF4809DFC4AC9403	BHFPRMFMK24	小芦苇茎勘探								 	
_EE5809DF025CD8F7	BHFPRMFMK25	大芦苇茎勘探								 	
_AD0FF5007509E1F0	BHFPRMFMK26	新鲜松土勘探								 	
_2D1FF5007428F1F0	BHFPRMFMK27	干燥松土勘探								 	
_0D3249F236C75C61	BHFPRMFMK28	小型植物化石勘探								 	
_4C4249F27477A055	BHFPRMFMK29	大型植物化石勘探								 	
_3A8AE4D6D5B1B9F2	BHFPRMFMK30	红色颜料勘探								 	
_721A14613C7CF105	BHFPRMFMK31	绿色颜料勘探								 	
_33691496888DF907	BHFPRMFMK32	蓝色颜料勘探								 	
_FB373E403CCEEDF4	BHFPRMFMK33	黄色颜料勘探								 	
_314A14617B5CE1FF	BHFPRMFMK34	黑色颜料勘探								 	
_78D93CCA9153D1B1	BHFPRMFML01	组内任意材料									
_B02B648425559BF2	BHFPRMFML02	绿叶勘探								 	
_4BF2E1D4AC5D306F	BHFPRMFML03	新鲜花瓣勘探								 	
_CB02E1D4AB7C406F	BHFPRMFML04	干燥花瓣勘探								 	
_32EA7C822237A073	BHFPRMFML05	小花蕾勘探								 	
_71FA7C8260E7E467	BHFPRMFML06	大花蕾勘探								 	
_AE38CDEA00AEB908	BHFPRMFML07	新鲜蒲公英勘探								 	
_2E48CDEAFFCDC908	BHFPRMFML08	干燥蒲公英勘探								 	
_FA519D32FEDB4838	BHFPRMFML09	盛开的蒲公英勘探								 	
_FB59EBE3BC6ED5FD	BHFPRMFML10	小型蘑菇勘探								 	
_3A69EBE3FA1E19F1	BHFPRMFML11	大型蘑菇勘探								 	
_977EF0F5797B4A71	BHFPRMFML12	活昆虫幼虫勘探								 	
_755974679AED850D	BHFPRMFML13	新鲜谷物勘探								 	
_F5697467990C950D	BHFPRMFML14	干燥谷物勘探								 	
_0731F90C22B971CE	BHFPRMFML15	死昆虫幼虫勘探								 	
_F2198C822237A073	BHFPRMFML16	小型卵勘探								 	
_31298C8260E7E467	BHFPRMFML17	大型卵勘探								 	
_792A608EDBE6D1F6	BHFPRMFML18	新鲜蜂蜜勘探								 	
_F93A608EDA05E1F6	BHFPRMFML19	干燥蜂蜜勘探								 	
_B73A44B012A5B64F	BHFPRMFML20	胡椒味芳香植物勘探								 	
_120FF0CA38B44E74	BHFPRMFML21	辛辣味芳香植物勘探								 	
_08AADC1D1783D26A	BHFPRMFML22	苦味芳香植物勘探								 	
_ED504504FA2BCCE1	BHFPRMFML23	新鲜野浆果勘探								 	
_6D604504F94ADCE1	BHFPRMFML24	干燥野浆果勘探								 	
_7E2B5C8EDC75ADF5	BHFPRMFML25	小型果实勘探								 	
_BD3B5C8E1A25F1E9	BHFPRMFML26	大型果实勘探								 	
_78D93CCB9153D1B1	BHFPRMFMM01	组内任意材料									
_8900E8E9FDCC3465	BHFPRMFMM02	新鲜变异树液勘探								 	
_0910E8E9FCEB4465	BHFPRMFMM03	干燥变异树液勘探								 	
_0AD021ECFDFEF998	BHFPRMFMM04	新鲜胶质残渣勘探								 	
_8AE021ECFC1D0998	BHFPRMFMM05	干燥胶质残渣勘探								 	
_78D93CCC9153D1B1	BHFPRMFMN01	组内任意材料									
_EDD71838817EED0D	BHFPRMFMN02	活寄生虫勘探								 	
_31CB4C94E5CDF1FE	BHFPRMFMN03	死寄生虫勘探								 	
_5170E58498229A67	BHFPRMFMN04	小型萤火虫腹部勘探								 	
_9080E584D6D2DE5B	BHFPRMFMN05	大型萤火虫腹部勘探								 	
_0FF261FB78C73058	BHFPRMFMN06	红色蝴蝶翅膀勘探								 	
_0B9C51D5B4E34E85	BHFPRMFMN07	绿色蝴蝶翅膀勘探								 	
_54F0902BE46B925E	BHFPRMFMN08	蓝色蝴蝶翅膀勘探								 	
_83BFF821D442EE56	BHFPRMFMN09	黄色蝴蝶翅膀勘探								 	
_D9D121D6E4BC1A5A	BHFPRMFMN10	小型昆虫化石勘探								 	
_18E121D6226C5E4E	BHFPRMFMN11	大型昆虫化石勘探								 	
_78D93CCD9153D1B1	BHFPRMFMO01	组内任意材料									
_1061EDF674385463	BHFPRMFMO02	新鲜 Kitin 茧勘探								 	
_AF9FA54D31C85597	BHFPRMFMO03	陈旧 Kitin 茧勘探								 	
_3529B06A1B9C1508	BHFPRMFMO04	Kitin 唾液勘探								 	
_BB1A6C915C45ADFE	BHFPRMFMO05	Kitin 幼虫勘探								 	
_78D93CCE9153D1B1	BHFPRMFMP01	组内任意材料									
_EFF500B9DA9DC10A	BHFPRMFMP02	腐叶勘探								 	
_B10500B9DA7DF914	BHFPRMFMP03	腐烂木材勘探								 	
_FC7A8C92DC7595FE	BHFPRMFMP04	小型尖刺勘探								 	
_3B8A8C921A25D9F2	BHFPRMFMP05	大型尖刺勘探								 	
_F99A8C92DE9595FA	BHFPRMFMP06	巨型尖刺勘探								 	
_5943634B803738AB	BHFPRMFMP07	尘土勘探								 	
_EDF664B47ADD21FE	BHFPRMFMP08	腐烂纤维勘探								 	
_6FB0F9EDAABDD1DC	BHFPRMFMP09	小型蜘蛛网勘探								 	
_AE20FDEDE86D15D0	BHFPRMFMP10	大型蜘蛛网勘探								 	
_78D93CCF9153D1B1	BHFPRMFMQ01	组内任意材料									
_F1F940CC9B730078	BHFPRMFMQ02	干燥树脂勘探								 	
_5AB0A15B754921D0	BHFPRMFMQ03	干燥锯屑勘探								 	
_33993CDBDB730078	BHFPRMFMQ04	干燥稻草勘探								 	
_F02C04BC9206BBF2	BHFPRMFMQ05	潮湿稻草勘探								 	
_F4B9D08721A8B078	BHFPRMFMQ06	新鲜蜡勘探								 	
_9322E4C161B374A4	BHFPRMFMQ07	干蜡勘探								 	
_F42B6889A4369BFF	BHFPRMFMQ08	新鲜苔藓勘探								 	
_52BAE4E6DAD29C7D	BHFPRMFMQ09	干苔藓勘探								 	
_78D93CD59153D1B1	BHFPRMFMW01	组内任意材料								 	
_F1D6F8DDDEC3B9FD	BHFPRMFMW02	Gulatch 油勘探								 	
_7409B08D6497CC4F	BHFPRMFMW03	Pilan 油勘探								 	
_8BF9BCCC8F26607D	BHFPRMFMW04	Irin 油勘探								 	
_B3F9B3E4242643F5	BHFPRMFMW05	Koorin 油勘探								 	
_BB8CB812848075F8	BHFPMI01	次级刀刃原材料勘探							寻找可用于制造以下部件的材料：刀刃。		
_458B227D4A099307	BHFPMI02	次级锤头原材料勘探							寻找可用于制造以下部件的材料：锤头。		
_3DFDEC28C4617507	BHFPMI03	次级尖头原材料勘探							寻找可用于制造以下部件的材料：尖头。		
_3B7DB02344917507	BHFPMI04	次级柄杆原材料勘探							寻找可用于制造以下部件的材料：柄杆。		
_E03B5CD470BE3571	BHFPMI05	次级握柄原材料勘探							寻找可用于制造以下部件的材料：握柄。		
_B07B32F3BC0DE7ED	BHFPMI06	次级配重原材料勘探							寻找可用于制造以下部件的材料：配重。		
_3C306F0C2E3BB724	BHFPMI07	次级扳机原材料勘探							寻找可用于制造以下部件的材料：扳机。		
_36FF7D45FE50AAD0	BHFPMI08	次级撞针原材料勘探							寻找可用于制造以下部件的材料：撞针。		
_058B1E820C48930C	BHFPMI09	次级枪管原材料勘探							寻找可用于制造以下部件的材料：枪管。		
_852D1442F89C0FB2	BHFPMI10	次级炸药原材料勘探							寻找可用于制造以下部件的材料：炸药。		
_8FC9B5DB0CD4CB23	BHFPMI11	次级弹壳原材料勘探							寻找可用于制造以下部件的材料：弹壳。		
_8BC9B5DB4CF4134B	BHFPMI12	次级弹丸原材料勘探							寻找可用于制造以下部件的材料：弹丸。		
_6B13B5CB9214F347	BHFPMI13	次级盔甲外壳原材料勘探							寻找可用于制造以下部件的材料：盔甲外壳。		
_C29B227ECDA8B703	BHFPMI14	次级衬里原材料勘探							寻找可用于制造以下部件的材料：衬里。		
_D36BA81FF49A470B	BHFPMI15	次级填料原材料勘探							寻找可用于制造以下部件的材料：填料。		
_35CCA546FFC2860F	BHFPMI16	次级护甲扣环原材料勘探							寻找可用于制造以下部件的材料：护甲扣环。		
_25BF65B94560D527	BHFPMI17	次级首饰底座原材料勘探							寻找可用于制造以下部件的材料：首饰底座。		
_6B5165D14E745347	BHFPMI18	次级首饰原材料勘探							寻找可用于制造以下部件的材料：首饰。		
_BB2FA3132E4AEB2B	BHFPMI19	次级衣物原材料勘探							寻找可用于制造以下部件的材料：衣物。		
_01CA7B88968B9C76	BHFPMI20	上级刀刃原材料勘探							寻找可用于制造以下部件的材料：刀刃（比次级更容易找到原材料矿源）。		
_C0E04359CA2E220C	BHFPMI21	上级锤头原材料勘探							寻找可用于制造以下部件的材料：锤头（比次级更容易找到原材料矿源）。		
_833BAF9ED66C9C85	BHFPMI22	上级尖头原材料勘探							寻找可用于制造以下部件的材料：尖头（比次级更容易找到原材料矿源）。		
_81BB7399559C9C85	BHFPMI23	上级柄杆原材料勘探							寻找可用于制造以下部件的材料：柄杆（比次级更容易找到原材料矿源）。		
_A000CBD9AB73764D	BHFPMI24	上级握柄原材料勘探							寻找可用于制造以下部件的材料：握柄（比次级更容易找到原材料矿源）。		
_F6B9F569CE180E6B	BHFPMI25	上级配重原材料勘探							寻找可用于制造以下部件的材料：配重（比次级更容易找到原材料矿源）。		
_8EDB768A34D99A9A	BHFPMI26	上级扳机原材料勘探							寻找可用于制造以下部件的材料：扳机（比次级更容易找到原材料矿源）。		
_B1549E217D7539D5	BHFPMI27	上级撞针原材料勘探							寻找可用于制造以下部件的材料：撞针（比次级更容易找到原材料矿源）。		
_80E03F5E8C6D2211	BHFPMI28	上级枪管原材料勘探							寻找可用于制造以下部件的材料：枪管（比次级更容易找到原材料矿源）。		
_CB6BD7B88C973630	BHFPMI29	上级炸药原材料勘探							寻找可用于制造以下部件的材料：炸药（比次级更容易找到原材料矿源）。		
_E174BC591272AE99	BHFPMI30	上级弹壳原材料勘探							寻找可用于制造以下部件的材料：弹壳（比次级更容易找到原材料矿源）。		
_DD74BC595292F6C1	BHFPMI31	上级弹丸原材料勘探							寻找可用于制造以下部件的材料：弹丸（比次级更容易找到原材料矿源）。		
_BDBEBC4998B2D6BD	BHFPMI32	上级盔甲外壳原材料勘探							寻找可用于制造以下部件的材料：盔甲外壳（比次级更容易找到原材料矿源）。		
_3DF0435A4CCD4608	BHFPMI33	上级衬里原材料勘探							寻找可用于制造以下部件的材料：衬里（比次级更容易找到原材料矿源）。		
_933017242F4F88E7	BHFPMI34	上级填料原材料勘探							寻找可用于制造以下部件的材料：填料（比次级更容易找到原材料矿源）。		
_B021C6227FE71514	BHFPMI35	上级护甲扣环原材料勘探							寻找可用于制造以下部件的材料：护甲扣环（比次级更容易找到原材料矿源）。		
_776A6C374BFEB89D	BHFPMI36	上级首饰底座原材料勘探							寻找可用于制造以下部件的材料：首饰底座（比次级更容易找到原材料矿源）。		
_BDFC6C4F531236BD	BHFPMI37	上级首饰原材料勘探							寻找可用于制造以下部件的材料：首饰（比次级更容易找到原材料矿源）。		
_0DDAAA9134E8CEA1	BHFPMI38	上级衣物原材料勘探							寻找可用于制造以下部件的材料：衣物（比次级更容易找到原材料矿源）。		
_BDDC8C4B56F20E83	BHFPMI39	上级魔法聚焦器原材料勘探							寻找可用于制造以下部件的材料：魔法聚焦器（比次级更容易找到原材料矿源）。		
